#{"t_start": 1748731060.45249, "env_id": "None"}
r,l,t
1283.903676,2487,106.973464
1239.188265,2487,146.328011
1242.55377,2487,175.859119
1107.790585,2487,209.510937
1111.711622,2487,263.284793
19741.009818,2487,347.026288
19790.425395,2487,397.843404
19790.425395,2487,450.356848
19607.280994,2487,491.787652
19607.280994,2487,512.694203
7600.737716,2487,939.529863
7636.823199,2487,973.067166
7537.152761,2487,1004.164263
7569.359979,2487,1059.310868
7569.359979,2487,1089.472929
3090.893771,2487,1357.663866
3090.893771,2487,1485.352842
3090.893771,2487,1507.794532
3090.893771,2487,1523.0089
3090.893771,2487,1541.987524
7735.829732,2487,1587.069387
7735.829732,2487,1605.943008
7735.829732,2487,1627.010093
7735.829732,2487,1645.187973
7735.829732,2487,1683.881478
13202.268847,2487,1727.560864
13202.268847,2487,1744.818664
13202.268847,2487,1775.518947
